"Team 1";"Team 2";"Score";"Etapa"
"GG.EU";"TSM";"0 - 1";"Day 1"
"SKT";"LD";"1 - 0";"Day 1"
"TSM";"OMG";"0 - 1";"Day 1"
"LD";"GG.EU";"1 - 0";"Day 1"
"OMG";"SKT";"1 - 0";"Day 1"
"V";"FNC";"1 - 0";"Day 1"
"GMB";"Mineski";"1 - 0";"Day 1"
"SSO";"V";"1 - 0";"Day 1"
"Mineski";"FNC";"0 - 1";"Day 1"
"GMB";"SSO";"1 - 0";"Day 1"
"Mineski";"SSO";"0 - 1";"Day 2"
"V";"GMB";"0 - 1";"Day 2"
"SSO";"FNC";"0 - 1";"Day 2"
"Mineski";"V";"0 - 1";"Day 2"
"FNC";"GMB";"1 - 0";"Day 2"
"LD";"OMG";"0 - 1";"Day 3"
"SKT";"GG.EU";"1 - 0";"Day 3"
"TSM";"LD";"1 - 0";"Day 3"
"GG.EU";"OMG";"0 - 1";"Day 3"
"SKT";"TSM";"1 - 0";"Day 3"
"SSO";"GMB";"1 - 0";"Day 4"
"FNC";"V";"1 - 0";"Day 4"
"Mineski";"GMB";"0 - 1";"Day 4"
"FNC";"SSO";"1 - 0";"Day 4"
"V";"Mineski";"1 - 0";"Day 4"
"LD";"SKT";"0 - 1";"Day 5"
"OMG";"GG.EU";"1 - 0";"Day 5"
"TSM";"SKT";"0 - 1";"Day 5"
"GG.EU";"LD";"0 - 1";"Day 5"
"OMG";"TSM";"1 - 0";"Day 5"
"GMB";"FNC";"0 - 1";"Day 6"
"V";"SSO";"0 - 1";"Day 6"
"FNC";"Mineski";"1 - 0";"Day 6"
"GMB";"V";"1 - 0";"Day 6"
"SSO";"Mineski";"1 - 0";"Day 6"
"SSO";"GMB";"0 - 1";"Day 6"
"LD";"TSM";"1 - 0";"Day 6"
"GG.EU";"SKT";"0 - 1";"Day 6"
"OMG";"LD";"1 - 0";"Day 6"
"TSM";"GG.EU";"0 - 1";"Day 6"
"SKT";"OMG";"1 - 0";"Day 6"
"C9";"FNC";"1 - 2";"Quarterfinals"
"NJBS";"GMB";"2 - 1";"Quarterfinals"
"GAB";"SKT";"0 - 2";"Quarterfinals"
"RYL";"OMG";"2 - 0";"Quarterfinals"
"SKT";"NJBS";"3 - 2";"Semifinals"
"RYL";"FNC";"3 - 1";"Semifinals"
"SKT";"RYL";"3 - 0";"Finals"
